0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
0.0000e+00,2.1680e+01,0.0000e+00,0.0000e+00,3.0190e+01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
2.3050e+01,3.2000e+01,3.1860e+01,0.0000e+00,6.7480e+01,7.6540e+01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
1.6500e+01,3.6330e+01,4.5590e+01,0.0000e+00,5.1510e+01,6.4780e+01,2.5320e+01,1.2260e+01,0.0000e+00,0.0000e+00
3.5860e+01,0.0000e+00,1.6150e+01,5.2890e+01,3.6370e+01,4.2870e+01,4.4450e+01,5.5570e+01,2.7850e+01,0.0000e+00
5.0750e+01,2.9090e+01,5.5160e+01,3.9770e+01,4.0230e+01,4.1500e+01,3.9770e+01,8.3380e+01,1.7000e+01,0.0000e+00
0.0000e+00,3.6890e+01,3.4410e+01,3.2130e+01,2.8590e+01,4.0200e+00,4.3940e+01,0.0000e+00,0.0000e+00,0.0000e+00
0.0000e+00,0.0000e+00,0.0000e+00,2.5190e+01,3.1800e+01,3.1960e+01,1.5910e+01,0.0000e+00,0.0000e+00,0.0000e+00
0.0000e+00,0.0000e+00,0.0000e+00,1.7680e+01,0.0000e+00,0.0000e+00,1.8260e+01,0.0000e+00,0.0000e+00,0.0000e+00
0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
